"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime","param"
"11","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01900901","Sample-Routine","Water","Surface Water",2019-04-26,"09:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-07263620","L-1200067 DOC not in a protective foam sleeve. Put volumes in the ""Comments to NWQL"" section.",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.197","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2019-05-28,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2019-04-26 14:30:00,NA,"Nitrogen Suspended mg/l"
"12","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00200236","Sample-Routine","Water","Surface Water",2001-10-10,"12:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","TPCN added after ex rpt generated, o",NA,"Stable, normal stage","Routine sample","70.0","USGS parameter code 82398","Grab sample  (dip)","Other",NA,"Nitrogen","Suspended","0.352","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",2001-10-10 17:00:00,NA,"Nitrogen Suspended mg/l"
"13","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01101893","Sample-Routine","Water","Surface Water",2011-05-24,"11:15:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","A-1460051 TPCN 30mL Filtered L-1460051 X = No date & time on DIC & GCC, all else matches",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Weighted-bottle sampler",NA,"Nitrogen","Suspended","0.151","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2011-06-15,NA,"Long Term Method Detection Level",0.017,"mg/l",NA,"NWIS",2011-05-24 16:15:00,NA,"Nitrogen Suspended mg/l"
"14","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01601924","Sample-Routine","Water","Surface Water",2016-07-19,"11:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","MM-48702A",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.116","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2016-08-15,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2016-07-19 16:00:00,NA,"Nitrogen Suspended mg/l"
"15","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01400001","Sample-Routine","Water","Surface Water",2013-10-18,"10:14:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-2950009 TPCN  mL Filtered",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.172","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-01-31,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2013-10-18 15:14:00,NA,"Nitrogen Suspended mg/l"
"16","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01101466","Sample-Routine","Water","Surface Water",2011-03-22,"09:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","A-0820011 TPCN 50mL Filtered",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Sampler, frame-type, plastic bottle",NA,"Nitrogen","Suspended","0.119","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2011-04-18,NA,"Long Term Method Detection Level",0.017,"mg/l",NA,"NWIS",2011-03-22 14:30:00,NA,"Nitrogen Suspended mg/l"
"17","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01203079","Sample-Routine","Water","Surface Water",2012-08-14,"11:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-2290203 TPCN Vol: 40mL L-2290203 Corrected to proposal CL12001, WSC to verify, paa, 8/16/12   Not all LC's indicated as add or delete, LC's added, JNV",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.242","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2012-09-11,NA,"Long Term Method Detection Level",0.017,"mg/l",NA,"NWIS",2012-08-14 16:30:00,NA,"Nitrogen Suspended mg/l"
"18","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01800951","Sample-Routine","Water","Surface Water",2018-05-09,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620",NA,NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.150","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2018-06-11,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2018-05-09 15:00:00,NA,"Nitrogen Suspended mg/l"
"19","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01502487","Sample-Routine","Water","Surface Water",2015-08-18,"11:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","L-2320007 Received August 20, 2015",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.108","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2015-09-01,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2015-08-18 16:30:00,NA,"Nitrogen Suspended mg/l"
"20","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00802486","Sample-Routine","Water","Surface Water",2008-08-12,"11:45:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-2310065 TPCN 50 mL Filtered L-2310065 Received August 15,2008   WCA condition changed to improper preservation, JNV",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","Grab sample",NA,"Nitrogen","Suspended","0.112","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2008-09-08,NA,"Laboratory Reporting Level",0.04,"mg/l",NA,"NWIS",2008-08-12 16:45:00,NA,"Nitrogen Suspended mg/l"
"21","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01501389","Sample-Routine","Water","Surface Water",2015-05-28,"11:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","L-1490167 X=no date or time on RU and WCA sample bottles    WCA btl condition changed to improper preservation, JNV",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Nitrogen","Suspended","0.474","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2015-06-17,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2015-05-28 16:30:00,NA,"Nitrogen Suspended mg/l"
"22","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00202532","Quality Control Sample-Field Replicate","Water","Surface Water",2002-08-08,"08:20:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","A-2210086 50 ml filtered for doc (3)  50 ml filtered for chy (1)",NA,"Not determined","Routine sample","70.0","USGS parameter code 82398","Grab sample  (dip)","US D-95 Teflon bottle",NA,"Nitrogen","Suspended","0.491","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,NA,2002-08-15,NA,"Lower Reporting Limit",0.022,"mg/l",NA,"NWIS",2002-08-08 13:20:00,NA,"Nitrogen Suspended mg/l"
"23","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00301452","Quality Control Sample-Field Replicate","Water","Surface Water",2003-05-13,"08:10:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","L-1340072 FA, FU, and RU received without ASR requests, district emailed, paa, 5/15/03 *per district/jones, schedule 998 added, paa, 5/20/03",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US DH-95 plastic bottle",NA,"Nitrogen","Suspended","0.098","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,NA,2003-06-06,NA,"Lower Reporting Limit",0.022,"mg/l",NA,"NWIS",2003-05-13 13:10:00,NA,"Nitrogen Suspended mg/l"
"24","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01700765","Sample-Routine","Water","Surface Water",2017-03-30,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620",NA,NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended","0.153","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2017-05-04,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2017-03-30 15:00:00,NA,"Nitrogen Suspended mg/l"
"25","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01701822","Sample-Routine","Water","Surface Water",2017-08-10,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","MM-55814G",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended","0.245","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"Please be aware samples held at room temp overnight, prior to processing and analysis.  For questions, contact; Armin Burdick 303-236-3238 aburdick@usgs.gov  or; labhelp@usgs.gov","49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2017-08-23,"see result comment","Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2017-08-10 15:00:00,NA,"Nitrogen Suspended mg/l"
"26","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01401518","Sample-Routine","Water","Surface Water",2014-05-28,"11:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-1490184 TPCN 30mL filtered",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.065","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-08-08,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-05-28 16:00:00,NA,"Nitrogen Suspended mg/l"
"27","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01401260","Sample-Routine","Water","Surface Water",2014-04-09,"11:10:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-1010171 TPCN 25mL filtered",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.290","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-06-17,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-04-09 16:10:00,NA,"Nitrogen Suspended mg/l"
"28","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01601200","Sample-Routine","Water","Surface Water",2016-05-25,"09:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","MM-48699A",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.094","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2016-06-14,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2016-05-25 14:30:00,NA,"Nitrogen Suspended mg/l"
